'Fake Love' by 'Drake',93,93,93,93,93,93,93,93,93,93,94,94,94
'Bad and Boujee (feat. Lil Uzi Vert)' by 'Migos',90,91,91,91,91,92,92,92,93,93,94,94,94
'Starboy' by 'The Weeknd',95,95,95,95,95,95,95,95,96,96,96,96,96
'Closer' by 'The Chainsmokers',100,100,100,100,100,100,100,100,100,100,100,100,100
'Black Beatles' by 'Rae Sremmurd',93,93,93,92,92,92,92,92,92,92,92,92,92
'Caroline' by 'Amin��',89,89,89,89,89,89,89,89,89,89,89,89,89
'Bad Things - With Camila Cabello' by 'Machine Gun Kelly',88,88,88,88,88,88,88,88,88,89,89,89,89
'I Don���t Wanna Live Forever (Fifty Shades Darker)' by 'ZAYN',89,90,90,90,90,91,91,91,92,92,93,93,94
'Broccoli (feat. Lil Yachty)' by 'D.R.A.M.',82,82,82,82,82,82,82,82,82,82,83,83,83
'Bounce Back' by 'Big Sean',87,87,87,87,87,87,87,87,88,88,88,88,89
'Deja Vu' by 'J. Cole',88,88,88,88,88,88,88,88,88,88,88,88,88
'I Feel It Coming' by 'The Weeknd',92,92,92,92,92,92,92,92,93,93,93,93,94
'Don't Wanna Know' by 'Maroon 5',95,95,95,95,95,95,95,95,95,95,95,95,95
'24K Magic' by 'Bruno Mars',92,92,92,92,92,93,93,93,93,93,93,93,94
'Let Me Love You' by 'DJ Snake',95,95,96,95,95,95,96,96,96,96,96,96,96
'X (feat. Future)' by '21 Savage',88,88,88,88,88,88,88,88,88,88,88,88,88
'Chill Bill' by 'Rob $tone',88,88,88,88,88,88,88,88,88,88,89,89,89
'Party Monster' by 'The Weeknd',88,88,88,88,88,88,88,88,87,87,87,88,88
'One Dance' by 'Drake',92,93,93,93,93,93,93,93,93,93,93,93,93
'No Heart' by '21 Savage',87,87,87,87,87,87,87,87,87,87,87,87,87
'Starving' by 'Hailee Steinfeld',64,64,64,64,64,64,64,64,64,64,65,65,65
'In the Name of Love' by 'Martin Garrix',96,96,96,96,96,96,96,96,96,96,96,96,96
'Side To Side' by 'Ariana Grande',93,92,92,92,92,92,92,92,92,92,92,93,93
'Say You Won't Let Go' by 'James Arthur',93,93,93,93,93,93,93,93,93,93,94,94,94
'Heathens' by 'Twenty One Pilots',93,93,93,93,93,93,93,93,93,93,93,93,93
'Sneakin���' by 'Drake',86,86,86,86,86,86,86,86,86,86,86,86,86
'OOOUUU' by 'Young M.a.',87,87,87,87,87,87,87,87,87,87,87,87,87
'Neighbors' by 'J. Cole',85,85,85,85,85,85,85,85,85,85,85,85,85
'All We Know' by 'The Chainsmokers',95,95,95,94,94,94,94,94,95,95,95,95,95
'Scars To Your Beautiful' by 'Alessia Cara',90,90,90,90,90,90,90,90,90,90,90,90,90
'The Greatest' by 'Sia',93,93,93,93,93,93,93,92,92,92,91,91,91
'Call On Me - Ryan Riback Extended Remix' by 'Starley',77,78,78,78,78,78,78,78,79,79,80,80,80
'Alessia Cara Version - From "Moana"' by 'Alessia Cara',80,81,81,81,81,81,81,82,82,82,83,83,84
'Love Me Now' by 'John Legend',82,83,83,83,83,83,83,84,84,84,85,85,85
'Just Hold On' by 'Steve Aoki',90,91,91,91,91,91,92,92,92,92,93,93,93
'Mercy' by 'Shawn Mendes',91,91,91,91,91,91,91,91,91,91,91,91,91
'Six Feet Under' by 'The Weeknd',85,85,85,85,85,85,85,85,85,85,85,85,85
'iSpy' by 'Kyle',80,81,81,81,81,82,82,83,83,83,85,85,86
'You Was Right' by 'Lil Uzi Vert',85,85,85,85,85,85,85,85,85,85,86,86,86
'Immortal' by 'J. Cole',86,85,85,85,85,85,85,85,85,85,84,84,84
'Too Good' by 'Drake',85,85,85,85,85,85,85,85,85,85,85,85,85
'No Problem (feat. Lil Wayne & 2 Chainz)' by 'Chance The Rapper',85,85,85,85,85,85,85,85,86,86,86,86,86
'Sidewalks' by 'The Weeknd',85,85,85,85,85,85,85,85,85,85,85,85,85
'Controlla' by 'Drake',83,83,83,83,83,83,83,83,83,83,83,83,83
'Swang' by 'Rae Sremmurd',81,82,82,82,82,82,82,82,82,83,83,83,84
'Needed Me' by 'Rihanna',83,83,83,83,83,83,83,83,83,83,83,83,83
'Cold Water (feat. Justin Bieber & M��)' by 'Major Lazer',92,92,92,92,92,92,92,92,92,92,92,92,92
'Rockabye (feat. Sean Paul & Anne-Marie)' by 'Clean Bandit',98,98,98,98,98,98,98,98,98,98,99,99,99
'pick up the phone' by 'Young Thug',82,82,82,82,82,82,82,82,83,83,83,83,83
'Redbone' by 'Childish Gambino',82,82,82,82,82,82,82,82,82,83,83,83,83
